,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
175,1991,105320.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
176,1992,107350.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
177,1993,111030.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
178,1994,113810.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
179,1995,113810.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
180,1996,126560.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
181,1997,127320.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
182,1998,133170.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
183,1999,134190.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
184,2000,131910.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
185,2001,124870.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
186,2002,117470.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
187,2003,128360.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
188,2004,141850.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
189,2005,146320.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
190,2006,155370.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
191,2007,163630.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
192,2008,168150.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
193,2009,157440.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
194,2010,168140.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
195,2011,177260.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
196,2012,178530.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
197,2013,184000.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
198,2014,179910.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
199,2015,186090.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
200,2016,184280.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
201,2017,180120.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
202,2018,177410.0,EN.ATM.CO2E.KT,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
203,1990,19850.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
204,1991,20690.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
205,1992,10890.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
206,1993,5040.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
207,1994,2740.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
208,1995,3510.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
209,1996,2570.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
210,1997,3340.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
211,1998,3470.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
212,1999,3110.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
213,2000,3560.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
214,2001,3600.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
215,2002,3120.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
216,2003,3500.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
217,2004,3760.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
218,2005,4460.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
219,2006,4490.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
220,2007,5200.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
221,2008,5690.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
222,2009,4510.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
223,2010,4340.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
224,2011,4940.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
225,2012,5720.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
226,2013,5500.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
227,2014,5480.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
228,2015,5340.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
229,2016,5070.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
230,2017,5320.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
231,2018,5550.0,EN.ATM.CO2E.KT,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
232,1990,263600.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
233,1991,264710.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
234,1992,268360.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
235,1993,272360.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
236,1994,278670.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
237,1995,289010.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
238,1996,299590.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
239,1997,306770.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
240,1998,327660.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
241,1999,333040.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
242,2000,338810.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
243,2001,344960.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
244,2002,352890.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
245,2003,351990.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
246,2004,365270.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
247,2005,369510.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
248,2006,375060.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
249,2007,385370.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
250,2008,388500.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
251,2009,394950.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
252,2010,387350.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
253,2011,385770.0,EN.ATM.CO2E.KT,AUS,Australia,East Asia & Pacific,High income,Not classified
