,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
196,2012,6000.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
197,2013,6090.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
198,2014,7130.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
199,2015,6460.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
200,2016,9340.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
201,2017,11030.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
202,2018,12030.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
203,1990,61050.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
204,1991,60310.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
205,1992,66920.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
206,1993,73740.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
207,1994,76250.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
208,1995,82730.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
209,1996,85820.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
210,1997,89320.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
211,1998,90170.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
212,1999,98750.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
213,2000,98370.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
214,2001,99810.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
215,2002,102300.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
216,2003,105660.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
217,2004,118650.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
218,2005,121670.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
219,2006,132480.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
220,2007,146260.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
221,2008,142160.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
222,2009,145140.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
223,2010,140620.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
224,2011,141640.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
225,2012,143750.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
226,2013,145100.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
227,2014,153670.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
228,2015,163590.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
229,2016,180570.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
230,2017,197700.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
231,2018,208370.0,EN.ATM.CO2E.KT,PAK,Pakistan,South Asia,Lower middle income,Blend
232,1990,3840.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
233,1991,3980.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
234,1992,5250.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
235,1993,5090.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
236,1994,5770.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
237,1995,5820.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
238,1996,8360.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
239,1997,8340.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
240,1998,8610.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
241,1999,9500.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
242,2000,10930.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
243,2001,10850.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
244,2002,11380.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
245,2003,12410.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
246,2004,12870.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
247,2005,13980.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
248,2006,12410.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
249,2007,13590.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
250,2008,12810.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
251,2009,12290.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
252,2010,13070.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
253,2011,15420.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
254,2012,16830.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
255,2013,14480.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
256,2014,17600.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
257,2015,20360.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
258,2016,21930.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
259,2017,23310.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
260,2018,21630.0,EN.ATM.CO2E.KT,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
261,1990,4844990.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
262,1991,4808090.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
263,1992,4880200.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
264,1993,5000350.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
265,1994,5073230.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
266,1995,5126900.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
267,1996,5283110.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
268,1997,5547990.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
269,1998,5590700.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
270,1999,5610300.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
271,2000,5776410.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
272,2001,5749250.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
273,2002,5594160.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
274,2003,5659630.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
275,2004,5740030.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
276,2005,5756080.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
277,2006,5656580.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
278,2007,5740270.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
279,2008,5563340.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
280,2009,5159550.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
281,2010,5392870.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
282,2011,5172100.0,EN.ATM.CO2E.KT,USA,United States,North America,High income,Not classified
